Id,S1,C1,S2,C2,S3,C3,S4,C4,S5,C5,CLASS
372465,3,3,3,4,3,10,1,10,4,1,1
421506,4,12,4,6,3,6,3,8,1,2,1
92814,2,11,1,1,3,13,3,2,2,3,0
230789,1,10,4,3,4,7,2,1,3,11,0
739104,2,9,2,7,2,13,2,12,3,13,1
500104,3,5,1,7,4,13,1,13,3,2,1
802370,1,9,2,12,4,3,1,13,4,7,0
941502,2,4,3,4,2,1,2,10,1,2,1
657077,3,9,1,6,3,2,1,2,2,12,1
799884,4,4,3,12,1,8,4,9,2,6,0
188159,1,13,4,7,2,9,3,7,2,12,1
574388,2,6,2,8,4,1,3,9,1,8,1
69996,1,6,3,6,4,3,4,2,1,12,1
968578,2,8,4,7,2,11,1,1,2,1,1
877638,1,6,4,9,1,4,3,8,1,7,0
855534,1,3,2,1,2,9,1,12,1,1,1
621155,2,12,3,4,3,13,4,9,4,5,0
828421,4,4,1,11,3,6,2,2,1,6,1
377141,2,10,3,6,1,7,2,9,3,11,0
941235,3,6,1,3,4,9,3,4,3,13,0
105853,4,7,3,4,3,3,4,2,2,1,0
975134,3,11,1,10,4,3,3,8,2,13,0
686285,1,2,3,13,1,7,3,8,1,4,0
639495,1,8,3,10,4,7,4,1,4,4,0
399992,1,2,4,2,4,8,2,10,4,5,1
644515,2,3,3,8,4,9,4,5,2,5,1
277632,4,2,3,5,4,6,4,4,2,9,0
831437,4,8,3,3,2,2,2,5,3,10,0
823665,1,9,3,7,3,4,3,3,1,7,1
529695,4,3,2,11,3,2,4,11,4,9,1
517673,4,1,3,11,2,10,2,1,3,1,3
255513,3,1,3,10,2,4,1,5,2,6,0
368395,4,3,2,5,2,13,1,6,2,6,1
880017,1,3,3,12,1,4,3,3,1,12,2
921895,2,1,2,8,3,8,3,12,2,9,1
127152,1,9,3,3,3,8,2,12,2,13,0
544137,1,12,3,7,3,11,4,11,1,11,3
179884,1,2,4,13,3,8,4,5,1,3,0
391353,3,5,4,8,1,9,2,9,3,9,3
821074,4,11,1,11,2,3,4,9,3,4,1
51924,2,1,3,1,4,10,4,1,3,8,3
101550,3,10,3,13,2,10,1,4,1,8,1
253601,2,12,4,11,1,1,4,2,4,13,0
376759,1,7,4,3,3,6,2,5,4,6,1
589013,2,5,4,13,2,11,1,6,3,10,0
978543,1,13,4,9,3,9,1,1,4,4,1
219634,1,6,2,5,4,3,2,13,1,4,0
113889,1,10,1,12,1,7,2,2,2,5,0
966617,4,11,1,3,3,5,1,6,1,5,1
213186,2,10,2,12,4,4,3,6,4,6,1
656326,1,10,2,7,3,3,3,9,4,6,0
80094,1,8,3,4,3,1,3,7,4,10,0
801314,1,13,3,9,1,5,2,7,2,11,0
761636,2,7,4,9,3,4,4,3,1,4,1
705929,1,4,1,12,1,1,2,13,2,5,0
515497,1,13,3,8,4,2,2,12,1,4,0
902266,1,13,4,2,3,8,2,1,2,5,0
509166,2,3,4,1,3,13,3,11,3,7,0
319653,3,13,2,11,4,6,3,9,3,6,1
506168,3,10,1,2,1,3,2,6,4,2,1
532166,2,4,4,4,2,7,3,2,1,11,1
253260,3,13,1,10,3,11,4,2,2,8,0
856413,1,3,2,4,4,10,4,12,3,7,0
900465,1,12,2,7,1,3,3,9,2,5,0
170654,1,8,1,6,1,12,2,2,4,7,0
521950,3,3,4,7,1,9,3,13,2,5,0
759697,2,9,2,8,2,7,1,2,3,6,0
133414,2,9,1,6,2,13,4,10,3,9,1
490612,1,4,4,9,1,9,2,8,3,9,3
209118,2,3,4,7,2,7,4,10,2,10,2
993426,1,5,4,6,4,2,3,7,2,8,0
359884,2,13,1,4,1,12,4,3,2,8,0
9048,3,4,3,8,1,10,3,1,2,2,0
16459,1,10,1,7,2,2,4,7,1,6,1
825242,2,12,4,4,4,3,2,1,3,3,1
63578,3,11,4,5,1,6,1,7,4,7,1
258468,2,11,4,3,2,3,4,8,1,6,1
432545,1,11,2,8,2,9,1,12,3,10,4
223928,3,9,3,6,1,3,3,3,4,11,1
494658,2,13,1,3,3,3,4,7,3,1,1
575349,1,12,1,10,4,9,3,8,4,10,1
634648,2,8,4,4,4,8,1,10,3,3,1
686074,1,1,3,12,2,4,4,11,3,6,0
589146,2,9,2,5,4,6,3,4,4,9,1
579808,3,2,2,9,2,8,4,1,2,6,0
584421,1,13,4,3,2,7,1,3,1,12,1
229644,3,8,4,3,4,9,1,5,4,1,0
109296,1,2,1,3,3,5,1,12,1,9,0
992827,2,13,4,5,3,9,3,13,4,4,1
558094,3,9,3,6,3,1,4,12,1,11,0
430216,3,6,2,8,3,5,4,12,1,8,1
840957,4,8,2,6,3,11,3,9,3,1,0
272045,1,1,1,6,3,2,4,12,3,13,0
898470,2,1,2,11,1,7,1,8,1,13,0
910448,2,8,3,2,3,1,1,11,2,2,1
942495,2,2,3,9,1,10,3,1,3,3,0
324800,4,10,4,13,1,6,3,12,3,8,0
801295,3,5,3,4,3,11,4,4,3,1,1
77347,4,6,4,11,4,4,1,8,4,10,0
386426,1,11,1,3,3,6,3,2,2,6,1
609187,2,2,2,10,4,9,2,7,3,4,0
480514,2,8,1,4,4,12,1,10,1,5,0
946085,4,9,3,8,2,2,2,1,2,8,1
209909,4,12,2,3,2,6,2,13,3,3,1
166225,2,4,1,4,1,1,2,8,1,11,1
927155,4,1,1,6,2,11,1,5,1,9,0
394788,4,6,3,12,2,10,1,1,3,10,1
692429,2,13,1,7,3,11,3,9,3,10,0
995918,1,13,4,11,1,8,3,6,3,11,1
342671,4,1,2,13,2,7,2,11,3,3,0
664446,2,4,3,12,4,12,3,11,3,5,1
564463,4,10,2,13,3,4,4,7,2,7,1
617652,4,13,1,6,4,10,2,6,1,8,1
3675,1,5,4,12,2,10,4,4,3,5,1
397817,1,3,3,8,2,1,4,6,3,2,0
953372,3,7,1,6,2,10,4,8,3,2,0
201591,3,12,2,12,1,7,1,5,4,5,2
763852,2,9,4,11,2,13,1,10,1,1,0
711454,4,2,2,7,3,3,3,5,3,8,0
700047,1,5,3,4,4,8,4,2,4,3,0
119805,1,12,4,9,3,1,1,2,1,11,0
851752,3,12,4,5,2,2,4,6,1,5,1
148456,1,4,3,1,1,12,4,9,2,10,0
789765,3,11,3,8,4,11,1,13,2,13,2
441435,2,5,3,1,4,7,2,4,1,12,0
685710,3,6,3,11,2,11,2,12,3,3,1
382606,4,12,1,10,4,10,4,1,1,13,1
98432,4,5,1,5,3,4,4,1,3,5,3
670084,3,12,1,5,2,13,2,1,1,2,0
784652,4,6,1,4,3,13,2,10,3,2,0
303767,2,5,3,4,4,11,3,6,3,7,0
902975,1,2,1,11,3,10,1,13,3,11,1
390439,3,10,1,13,4,5,1,3,3,9,0
958118,4,6,2,2,4,4,2,11,3,5,0
970521,2,8,2,6,1,6,3,13,2,11,1
847069,4,2,2,11,3,7,3,11,3,5,1
389807,2,1,3,10,1,4,1,8,1,10,1
925579,1,5,2,9,2,8,3,13,4,12,0
884486,3,8,4,13,3,1,4,12,2,4,0
1014352,2,1,4,3,2,7,1,2,3,2,1
521073,2,13,4,8,2,1,3,12,1,8,1
831458,1,7,4,9,3,7,3,2,3,5,1
843134,4,6,1,8,3,13,1,11,3,9,0
752770,2,1,2,3,4,13,4,9,2,11,0
244044,2,1,2,8,1,13,1,8,3,12,1
620872,3,8,4,1,4,3,2,1,2,8,2
846153,1,3,4,12,2,9,1,6,4,3,1
936295,4,10,3,12,4,9,3,3,1,12,1
42239,1,13,1,5,4,11,2,3,4,2,0
710626,1,1,3,12,4,9,1,6,3,3,0
645656,1,11,4,5,4,7,1,8,4,12,0
651169,4,13,1,5,4,10,3,11,3,6,0
647287,4,1,4,10,2,7,4,4,2,3,0
595174,2,13,4,9,4,3,2,6,2,9,1
976254,2,12,2,7,3,9,4,5,4,1,0
986946,1,11,1,7,3,6,3,4,3,10,0
234994,3,1,4,11,2,1,2,2,2,11,2
806981,1,8,2,12,4,11,1,7,2,3,0
935560,4,11,2,9,2,6,4,9,1,8,1
880358,3,3,1,9,4,2,4,1,2,10,0
447173,4,13,1,4,2,7,3,2,1,12,0
865406,2,10,3,11,3,7,3,2,4,4,0
133756,2,3,2,11,4,11,2,7,3,13,1
592867,2,12,2,9,3,7,2,7,2,3,1
753993,2,11,2,7,1,5,3,3,4,3,1
513915,2,1,3,12,2,13,1,3,3,1,1
863688,2,13,3,2,3,8,4,7,2,9,0
921319,3,4,1,9,4,1,1,10,4,6,0
520433,1,1,1,8,1,13,2,2,1,11,0
539113,1,5,4,2,4,7,4,12,2,6,0
480011,2,9,4,8,2,10,3,13,4,7,0
809918,3,13,2,7,1,7,4,8,4,13,2
419705,3,10,1,13,4,5,3,11,1,2,0
390360,1,12,3,7,1,2,1,6,2,3,0
762335,1,6,4,8,4,1,4,10,4,13,0
103911,4,2,3,5,2,9,1,10,1,12,0
322751,2,8,4,8,2,1,1,12,1,13,1
798437,3,11,3,12,4,1,4,5,1,7,0
697985,1,2,3,3,2,11,1,5,3,2,1
140181,3,11,2,6,4,5,4,3,1,6,1
583748,2,10,4,10,2,9,1,10,3,7,3
903681,3,9,4,7,3,7,3,12,4,6,1
846325,1,2,4,7,2,2,4,11,3,8,1
644292,4,1,3,7,3,13,1,9,1,11,0
768622,1,9,4,6,2,10,2,11,2,5,0
967526,3,3,3,12,3,13,1,13,2,4,1
112547,1,8,1,6,2,11,1,5,1,9,0
14761,4,7,4,4,3,12,2,3,1,10,0
906516,1,1,1,10,2,13,2,9,4,13,1
783230,1,7,4,2,2,13,2,12,1,6,0
749138,4,3,3,11,4,13,1,2,1,9,0
749209,1,5,4,6,3,3,1,9,3,7,0
978848,3,9,2,7,1,2,2,1,4,7,1
847853,1,2,2,4,4,3,4,10,2,12,0
757251,3,7,2,3,4,10,3,12,3,13,0
920884,1,8,4,3,2,6,3,12,1,4,0
456851,2,3,1,1,2,10,4,10,3,10,3
583335,3,8,4,6,2,7,1,10,2,1,0
800536,2,8,4,5,2,6,4,1,3,2,0
111030,3,10,1,2,1,1,2,5,2,7,0
135256,1,12,1,3,1,13,4,10,1,5,0
798414,4,12,3,1,1,2,3,12,2,1,2
1001484,2,8,1,2,1,3,1,8,3,6,1
240078,3,13,2,2,3,2,4,4,2,13,2
527111,1,11,4,6,3,9,3,2,3,12,0
632580,2,5,4,8,3,10,3,4,3,12,0
111723,1,11,2,6,2,13,1,4,4,9,0
417467,4,3,1,1,1,7,2,1,2,8,1
616454,4,12,2,11,4,11,4,5,1,11,3
342256,4,5,1,5,1,13,2,1,1,2,1
54980,2,2,2,3,3,13,3,5,2,11,0
913857,3,11,1,11,1,4,3,1,4,10,1
547066,4,8,4,10,1,5,1,8,4,4,1
999552,1,3,4,1,3,11,3,12,3,1,1
672501,4,1,4,7,4,2,3,8,1,8,1
607462,2,7,3,12,2,9,1,9,3,10,1
898021,1,13,1,7,2,7,3,11,2,10,1
851389,2,6,2,4,2,3,3,13,4,2,0
916116,2,11,4,1,3,4,1,10,1,6,0
613798,3,4,2,9,1,13,3,8,2,5,0
931301,2,4,3,8,2,9,4,10,2,7,0
538931,2,7,1,4,3,7,4,7,3,9,3
333364,4,7,4,5,4,8,4,4,4,13,5
359444,2,3,4,6,4,13,2,4,1,7,0
28473,4,6,1,10,2,9,2,10,3,5,1
467676,3,5,2,13,2,7,2,8,1,1,0
179532,3,2,4,1,3,9,3,7,3,5,0
71856,1,3,3,10,4,3,2,6,4,6,2
108581,2,8,3,12,3,3,3,9,3,5,0
376619,3,4,1,9,1,10,1,3,1,13,0
485399,1,9,1,11,2,6,3,1,4,13,0
961789,2,8,2,1,3,13,1,4,2,5,0
941730,3,2,4,3,2,10,1,8,1,12,0
615663,4,6,2,3,2,10,3,5,4,4,0
562619,1,1,4,6,2,9,4,4,2,11,0
13562,1,9,3,3,2,5,4,11,2,4,0
401832,3,3,1,11,3,9,1,7,3,4,0
12877,4,4,3,4,2,2,3,8,1,11,1
164405,4,7,4,8,3,5,1,12,3,6,0
870549,4,6,3,1,4,9,2,1,4,11,1
650575,4,5,2,13,2,9,2,11,3,8,0
886111,1,6,3,6,1,8,3,5,3,1,1
443138,2,12,2,8,3,3,4,7,3,9,0
293431,4,12,2,10,2,8,4,2,1,4,0
330244,3,9,1,7,4,11,2,3,4,13,0
927790,3,9,3,3,4,5,2,9,4,7,1
162455,1,10,4,12,4,7,3,13,1,5,0
219137,2,13,3,9,2,9,4,10,4,2,1
629992,1,10,2,4,1,13,4,1,2,11,0
26563,3,3,4,7,4,10,2,4,3,12,0
1023025,4,12,1,11,4,8,4,6,2,4,0
350693,1,2,1,11,1,12,4,13,4,10,0
711598,2,4,4,1,3,6,1,12,2,3,0
96597,1,11,4,3,2,6,2,13,3,10,0
366530,4,2,2,9,1,6,3,4,4,13,0
679075,2,11,1,4,3,4,4,6,1,9,1
661368,1,1,1,7,3,9,4,9,4,11,1
477297,1,11,1,9,4,10,2,10,4,11,2
172349,1,3,1,12,2,10,3,10,1,1,1
975398,1,9,4,13,3,6,4,6,1,5,1
28946,3,12,3,5,3,11,2,3,3,8,0
528304,4,10,2,7,2,3,2,1,3,9,0
963031,2,9,4,1,3,9,3,11,4,11,2
816727,4,1,1,9,3,6,4,3,3,7,0
882899,1,13,4,13,3,5,4,2,1,1,1
641790,4,8,4,1,2,13,4,12,3,11,0
328179,3,3,4,9,1,8,3,4,4,7,0
305091,4,7,3,5,1,12,4,1,1,1,1
263208,1,3,2,4,4,5,4,3,2,9,1
763413,2,4,2,7,2,10,4,4,1,7,2
708903,3,12,3,5,1,13,1,10,3,9,0
373055,2,2,4,2,4,10,4,12,2,8,1
221807,3,5,3,7,4,6,2,10,2,7,1
199102,2,13,3,4,3,13,2,12,2,6,1
921500,1,8,4,6,1,3,4,9,1,4,0
13758,1,12,3,1,4,2,2,12,1,4,1
100226,1,7,2,1,4,4,4,6,4,9,0
146639,4,7,4,12,3,12,2,11,4,6,1
66143,2,2,4,10,1,3,1,9,1,2,1
178199,4,3,4,1,1,1,2,12,1,11,1
165040,2,3,4,9,4,11,1,4,4,5,0
65981,2,6,4,2,2,4,4,11,3,7,0
445956,4,12,2,9,4,2,1,1,1,12,1
722493,3,13,4,12,2,2,3,1,1,1,1
600890,1,9,4,6,3,12,2,11,4,9,1
188723,1,11,4,5,4,1,2,12,3,1,1
685889,2,8,2,9,3,12,1,6,3,13,0
970646,2,2,2,11,2,5,3,8,1,9,0
183664,4,7,2,5,2,7,4,4,3,6,1
473385,1,4,2,1,4,11,4,6,2,3,0
1019697,2,1,2,4,3,9,1,5,1,6,0
988767,4,5,4,12,2,9,2,5,2,11,1
87331,2,10,3,3,3,10,1,9,4,3,2
58318,3,10,2,1,4,13,2,12,2,2,0
438628,4,6,1,9,2,9,3,1,1,12,1
618595,4,13,2,13,2,2,4,11,2,4,1
981909,4,10,1,8,2,12,1,6,1,3,0
57876,4,7,1,13,3,9,4,4,2,12,0
273639,4,9,1,7,3,6,2,11,1,12,0
159043,2,5,3,9,1,3,4,8,3,11,0
866621,4,2,2,4,4,12,4,4,2,11,1
610747,1,10,1,8,2,6,4,12,4,1,0
997230,1,4,1,5,4,6,2,4,3,2,1
632504,3,5,4,5,1,9,4,10,4,9,2
422198,4,4,2,10,4,6,3,1,1,12,0
966661,4,5,4,2,4,11,3,4,4,10,0
508278,3,6,3,11,1,3,3,12,2,3,1
288021,1,11,3,5,1,5,4,8,1,10,1
746617,2,11,3,5,2,6,4,6,1,1,1
312591,1,13,1,4,2,3,2,12,3,2,0
881126,3,5,4,10,3,8,4,6,3,9,0
456837,4,2,3,7,4,11,2,2,3,13,1
148893,1,8,4,12,4,13,2,12,1,1,1
583309,3,8,2,12,4,11,2,10,1,13,0
983341,1,9,3,13,2,7,1,5,2,10,0
598371,3,11,4,13,2,11,3,7,1,8,1
854019,2,10,3,5,4,6,1,3,2,9,0
871912,3,9,1,1,1,5,2,4,3,1,1
9334,3,8,3,7,3,13,4,4,1,3,0
439293,2,2,3,8,3,11,4,6,2,13,0
484000,1,9,3,2,3,7,3,9,3,6,1
99351,3,13,2,2,3,12,2,13,2,3,1
635208,2,5,1,12,4,2,3,2,2,4,1
413577,2,11,3,5,2,9,4,9,2,12,1
98605,1,2,2,9,2,12,1,13,2,6,0
206293,2,12,1,7,4,12,2,9,1,12,3
931207,2,5,4,5,4,3,3,3,2,8,2
574231,2,10,1,11,1,13,3,2,1,8,0
841141,3,7,1,4,3,3,3,12,4,8,0
740595,4,3,3,3,3,8,3,4,3,11,1
122657,4,2,3,8,2,6,4,12,4,13,0
155499,2,1,4,8,4,12,1,13,4,11,0
326377,1,10,2,5,3,8,2,7,1,6,0
217918,1,3,4,7,3,4,2,13,3,12,0
1019141,4,12,2,10,2,7,3,5,3,9,0
374608,4,5,2,1,4,2,3,8,4,4,0
990298,1,11,2,1,3,13,3,6,3,11,1
686727,2,4,3,5,1,2,4,11,4,4,1
652186,1,1,2,7,3,4,3,10,3,11,0
645311,1,13,3,4,1,1,3,13,4,11,1
1015220,3,4,1,11,4,7,1,10,3,9,0
998815,1,13,4,3,3,8,1,12,2,9,0
391233,3,8,4,2,2,5,4,6,3,13,0
283161,1,7,4,3,2,5,2,6,4,12,0
485053,1,5,1,10,3,9,1,1,1,4,0
10210,1,8,2,4,2,13,2,8,4,6,1
780521,1,4,2,5,3,2,2,2,1,2,3
446329,1,1,1,10,3,13,4,13,2,12,1
101159,4,1,3,12,4,7,2,9,4,5,0
952531,1,1,1,2,2,4,3,12,2,2,1
866081,4,8,4,13,1,1,3,6,3,11,0
906440,1,9,4,13,2,8,3,9,2,5,1
128988,2,13,3,1,1,13,4,7,2,3,1
526940,1,7,1,13,4,11,1,5,2,5,1
926121,1,11,3,4,2,4,1,4,4,8,3
370089,2,3,2,10,1,3,1,10,1,8,2
481968,4,1,3,4,1,6,2,5,2,1,1
480538,4,6,4,5,1,3,2,13,3,13,1
601887,3,8,2,10,1,10,4,3,1,2,1
606504,4,8,4,4,2,13,4,1,1,1,1
1020652,3,6,2,13,4,9,4,13,4,5,1
241162,2,6,1,1,2,1,3,6,4,6,6
677795,3,4,3,9,4,7,4,12,2,8,0
338343,2,5,2,10,1,13,1,7,4,4,0
224618,3,6,2,2,1,9,1,5,1,8,0
422931,1,9,1,7,3,10,1,11,2,1,0
906871,3,7,1,5,1,3,2,11,4,1,0
352278,1,8,3,5,3,4,2,9,3,12,0
39381,3,8,3,10,1,9,1,8,3,1,1
225606,4,4,3,12,4,8,3,1,2,7,0
588697,3,7,3,2,3,3,4,2,2,3,2
685622,1,7,1,3,2,5,3,5,3,4,1
713082,4,12,1,6,1,3,3,12,1,13,1
786739,4,4,3,4,3,6,2,1,3,10,1
252631,3,13,4,11,1,9,1,4,4,12,0
985016,4,13,1,8,3,2,3,6,4,11,0
301688,1,2,1,10,4,9,1,7,4,11,0
169302,1,11,2,1,1,13,1,1,4,7,1
250820,1,6,4,11,4,2,2,13,3,13,1
733629,2,12,4,5,4,12,4,3,1,2,1
594926,1,12,2,2,3,3,1,8,3,12,1
914273,2,4,4,2,1,10,3,9,1,5,0
447280,3,4,3,6,3,11,3,13,4,8,0
24439,4,12,1,4,3,13,2,3,3,8,0
183759,1,13,4,12,3,7,2,7,3,1,1
4447,1,6,4,11,3,4,3,9,4,8,0
589959,3,5,1,6,2,7,1,9,3,8,4
429059,2,12,4,7,4,6,4,1,2,11,0
198119,4,11,3,9,1,10,2,5,1,3,0
673222,2,10,1,2,4,7,2,13,4,4,0
564173,4,8,2,6,4,12,2,12,1,12,3
189676,2,5,2,10,1,9,3,5,2,1,1
88739,2,9,1,4,4,8,2,12,3,11,0
568867,4,6,3,10,2,11,4,4,3,2,0
718418,1,7,2,6,2,12,3,3,3,8,0
52551,3,2,4,6,2,6,3,9,3,11,1
598567,4,2,4,3,1,11,2,13,4,6,0
1011684,4,3,1,10,1,1,2,3,2,9,1
732059,2,7,4,12,3,3,2,4,4,3,1
610954,2,2,3,1,4,7,3,7,1,11,1
431959,1,8,4,3,3,8,3,2,3,1,1
685685,3,10,4,9,3,2,2,9,2,5,1
952668,2,10,3,13,1,9,4,13,2,8,1
995403,3,5,2,4,2,6,2,5,2,3,1
461208,2,6,4,11,2,4,3,1,1,2,0
676145,3,1,1,1,4,13,1,6,4,9,1
34968,4,3,4,11,2,3,4,7,1,12,1
570466,1,7,1,2,1,1,1,13,2,13,1
305297,4,1,1,1,2,6,2,7,4,11,1
828128,2,13,1,7,2,2,4,2,3,11,1
931178,4,2,4,13,1,8,2,7,4,5,0
447635,3,4,4,5,4,3,2,2,4,2,1
795279,3,1,4,7,4,9,4,10,3,12,0
152126,2,10,3,13,4,12,1,10,1,6,1
613749,4,9,1,9,2,5,4,3,4,2,1
586173,3,1,2,10,3,8,3,5,2,5,1
518457,1,1,3,11,4,10,2,5,2,4,0
511899,1,2,3,11,4,9,3,3,3,5,0
539488,3,8,1,8,2,1,4,1,3,9,2
274497,3,4,2,13,3,2,1,10,4,4,1
902834,2,5,3,5,1,5,3,11,3,8,3
797563,2,8,2,5,3,2,3,8,4,4,1
398640,1,8,3,2,1,7,1,13,1,12,0
437943,3,1,4,7,2,9,3,11,4,3,0
337013,2,9,1,4,4,9,2,2,4,5,1
436422,3,7,3,10,3,11,1,4,2,9,0
471634,3,9,3,11,2,4,1,3,4,9,1
104377,1,10,3,1,2,1,3,4,4,11,1
861842,2,11,1,7,1,6,1,3,2,7,1
215490,2,8,1,3,1,9,2,6,1,1,0
512007,1,10,3,5,2,13,1,4,4,3,0
818176,4,3,2,3,3,7,4,9,1,13,1
282966,3,6,3,13,2,12,3,10,3,9,0
360599,3,6,2,3,1,4,2,11,4,5,0
492823,2,13,3,9,3,6,2,6,3,2,1
73115,2,13,1,3,3,13,1,10,2,2,1
399285,2,8,4,7,2,10,4,13,2,9,0
271602,4,12,4,2,2,1,1,4,4,11,0
665541,3,10,1,10,1,12,2,3,1,6,1
179476,3,7,4,7,1,11,4,12,3,10,1
181976,2,5,1,10,3,12,3,10,2,13,1
214489,1,2,3,7,2,1,2,2,4,4,1
434746,4,4,4,10,2,10,1,7,2,2,1
416091,2,8,2,6,1,5,2,3,1,10,0
192331,4,13,3,1,3,3,3,12,3,2,0
611513,2,10,2,11,4,2,3,7,1,2,1
578901,4,8,3,13,2,9,4,9,4,2,1
958311,3,9,4,9,4,13,4,7,3,3,1
708676,1,11,3,5,3,9,1,12,2,7,0
419452,4,8,1,11,3,2,3,5,1,10,0
687057,4,9,3,9,3,5,1,9,4,12,3
960288,2,2,2,7,2,4,4,2,1,4,2
32946,4,4,1,5,4,13,2,4,1,13,2
761011,3,5,2,1,2,13,3,9,4,2,0
610108,3,12,3,5,3,7,1,2,2,8,0
979986,4,13,4,2,4,5,3,3,3,1,0
640066,4,2,2,3,2,11,4,7,2,8,0
582460,2,13,3,11,2,8,1,3,4,12,0
428808,1,13,2,1,2,11,4,4,4,6,0
